region_std,year,month,temp_c,prec_mm,date,prec_3m,spi_3
Алтайский край,2007,1,-8.037639,26.687158812034912,2007-01-01,,
Алтайский край,2007,2,-9.202633,43.77629048569398,2007-02-01,,
Алтайский край,2007,3,-7.8378863,28.840899931532995,2007-03-01,99.30434922926187,-0.7798137074869408
Алтайский край,2007,4,7.8777165,23.6892420698128,2007-04-01,96.30643248703977,-0.8381906396087315
Алтайский край,2007,5,13.2578125,115.50693608369254,2007-05-01,168.03707808503833,0.5585843175312785
Алтайский край,2007,6,16.306906,91.3805742485504,2007-06-01,230.57675240205575,1.7763880914337338
Алтайский край,2007,7,21.63042,79.94946182604212,2007-07-01,286.83697215828505,2.871915189838761
Алтайский край,2007,8,17.328133,50.93967809151232,2007-08-01,222.26971416610485,1.614629293931645
Алтайский край,2007,9,13.398474,24.60763539948232,2007-09-01,155.49677531703676,0.31439327874622014
Алтайский край,2007,10,3.6166012,46.70998918142602,2007-10-01,122.25730267242065,-0.3328623341300099
Алтайский край,2007,11,-5.1626787,41.096093692387534,2007-11-01,112.41371827329587,-0.524541525953361
Алтайский край,2007,12,-10.468814,33.68009722066804,2007-12-01,121.4861800944816,-0.3478780181067977
Алтайский край,2008,1,-20.211716,16.87728838714949,2008-01-01,91.65347930020508,-0.9287952679922358
Алтайский край,2008,2,-11.845778,24.99183520670689,2008-02-01,75.54922081452442,-1.2423854325388084
Алтайский край,2008,3,-1.0987996,39.94478682966138,2008-03-01,81.81391042351777,-1.1203962675571215
Алтайский край,2008,4,4.543474,51.24537826307379,2008-04-01,116.18200029944205,-0.4511636562620744
Алтайский край,2008,5,14.0154915,27.65668210783523,2008-05-01,118.8468472005704,-0.39927242643865163
Алтайский край,2008,6,19.142529,52.79267876778009,2008-06-01,131.6947391386891,-0.14909185770686878
Алтайский край,2008,7,21.76194,59.93010570675215,2008-07-01,140.37946658236746,0.02002149268593702
Алтайский край,2008,8,17.642637,66.15757541504404,2008-08-01,178.88035988957628,0.76973011653428
Алтайский край,2008,9,9.643968,59.23238440022636,2008-09-01,185.32006552202253,0.8951272809368456
Алтайский край,2008,10,4.999145,22.39797770361159,2008-10-01,147.787937518882,0.16428293894164767
Алтайский край,2008,11,-1.3989431,62.90454834699631,2008-11-01,144.53491045083427,0.10093837113987092
Алтайский край,2008,12,-12.82733,34.331706172144855,2008-12-01,119.63423222275276,-0.3839400720252384
Алтайский край,2009,1,-14.434569,41.91535450597122,2009-01-01,139.15160902511238,-0.0038879629255548142
Алтайский край,2009,2,-17.803818,36.68925287738536,2009-02-01,112.93631355550144,-0.5143652896066938
Алтайский край,2009,3,-5.973428,20.707046095867575,2009-03-01,99.31165347922415,-0.7796714754835489
Алтайский край,2009,4,5.5438776,39.090711761999,2009-04-01,96.48701073525194,-0.8346743297692728
Алтайский край,2009,5,13.020244,61.80212964014437,2009-05-01,121.59988749801096,-0.3456638507538183
Алтайский край,2009,6,15.154223,74.77039336194247,2009-06-01,175.66323476408584,0.7070846492892963
Алтайский край,2009,7,19.113495,100.24670203301892,2009-07-01,236.81922503510577,1.8979446363635262
Алтайский край,2009,8,17.362457,80.54872782979585,2009-08-01,255.56582322475725,2.2629877593491927
Алтайский край,2009,9,11.856614,41.21959772071427,2009-09-01,222.01502758352905,1.609669909591859
Алтайский край,2009,10,3.7711513,58.96774847595304,2009-10-01,180.73607402646314,0.8058655090489486
Алтайский край,2009,11,-7.0956826,55.20181911171607,2009-11-01,155.38916530838338,0.3122978429116254
Алтайский край,2009,12,-16.13741,43.63736935531568,2009-12-01,157.8069369429848,0.3593778997428574
Алтайский край,2010,1,-24.301184,21.7520036727913,2010-01-01,120.59119213982305,-0.36530567056394914
Алтайский край,2010,2,-21.695368,15.162677021521445,2010-02-01,80.55205004962842,-1.1449678429969101
Алтайский край,2010,3,-7.3423953,57.02602366327918,2010-03-01,93.94070435759193,-0.8842572793143504
Алтайский край,2010,4,2.4284544,26.481311509230068,2010-04-01,98.67001219403069,-0.7921658350582291
Алтайский край,2010,5,10.02672,49.53924574138662,2010-05-01,133.04658091389587,-0.12276811947918455
Алтайский край,2010,6,18.453838,51.81073411214705,2010-06-01,127.83129136276375,-0.22432284240863437
Алтайский край,2010,7,17.563623,82.76738202175575,2010-07-01,184.11736187528942,0.8717076348342229
Алтайский край,2010,8,18.3103,18.825208158733496,2010-08-01,153.40332429263628,0.27362855481958537
Алтайский край,2010,9,11.743324,22.748629029067057,2010-09-01,124.34121920955629,-0.2922832705014204
Алтайский край,2010,10,4.644736,35.041993302329104,2010-10-01,76.61583049012965,-1.2216158762144722
Алтайский край,2010,11,-0.80396706,87.72502398073192,2010-11-01,145.51564631212807,0.1200357496620368
Алтайский край,2010,12,-16.900463,48.81063864957826,2010-12-01,171.57765593263926,0.6275282177304932
Алтайский край,2011,1,-22.889364,6.830158238596243,2011-01-01,143.3658208689064,0.07817327489576731
Алтайский край,2011,2,-13.094479,21.253903094327676,2011-02-01,76.89469998250216,-1.216185590176908
Алтайский край,2011,3,-6.883449,30.12657021573826,2011-03-01,58.210631548662164,-1.5800111025267656
Алтайский край,2011,4,7.77054,37.61399035424878,2011-04-01,88.99446366431471,-0.9805729485065042
Алтайский край,2011,5,12.309033,33.7923633671246,2011-05-01,101.53292393711162,-0.73641778770831
Алтайский край,2011,6,20.339302,55.43216361350448,2011-06-01,126.83851733487785,-0.24365463412317506
Алтайский край,2011,7,18.84378,51.36969636888089,2011-07-01,140.59422334950995,0.024203343716556316
Алтайский край,2011,8,17.257725,52.62017157225328,2011-08-01,159.42203155463864,0.3908278286841464
Алтайский край,2011,9,12.695968,26.547518574163277,2011-09-01,130.5373865152974,-0.17162840603230178
Алтайский край,2011,10,6.485799,37.19362318298887,2011-10-01,116.36131332940542,-0.44767198338427283
Алтайский край,2011,11,-8.076964,43.26788325234243,2011-11-01,107.00902500949456,-0.6297844125740777
Алтайский край,2011,12,-12.955737,21.875194402209083,2011-12-01,102.33670083754038,-0.7207662424547171
Алтайский край,2012,1,-19.807104,9.923624621582052,2012-01-01,75.06670227613355,-1.2517812745134826
Алтайский край,2012,2,-18.821253,2.8741211931322437,2012-02-01,34.672940216923365,-2.038348784098972
Алтайский край,2012,3,-4.7557316,28.61076162735407,2012-03-01,41.408507442068355,-1.9071904549945418
Алтайский край,2012,4,7.541055,26.02303765734251,2012-04-01,57.50792047782881,-1.593694643468888
Алтайский край,2012,5,12.228769,35.444982040214946,2012-05-01,90.07878132491152,-0.9594585734541135
Алтайский край,2012,6,21.817593,60.010364218702854,2012-06-01,121.4783839162603,-0.3480298291829441
Алтайский край,2012,7,22.449434,71.70226855783557,2012-07-01,167.15761481675335,0.5414589695210378
Алтайский край,2012,8,18.84924,58.18412411461943,2012-08-01,189.89675689115785,0.9842469011169462
Алтайский край,2012,9,13.213957,47.17666944323203,2012-09-01,177.063062115687,0.7343427866270517
Алтайский край,2012,10,3.595152,65.78747636160118,2012-10-01,171.14826991945262,0.6191669988237721
Алтайский край,2012,11,-6.362835,98.4009666664581,2012-11-01,211.3651124712913,1.4022894433988196
Алтайский край,2012,12,-22.935204,32.62829574237026,2012-12-01,196.81673877042954,1.1189962444729058
Алтайский край,2013,1,-12.912656,44.50321765756778,2013-01-01,175.53248006639615,0.7045385285101119
Алтайский край,2013,2,-13.014796,32.123607694727816,2013-02-01,109.25512109466584,-0.586047307785145
Алтайский край,2013,3,-3.8893137,56.964751352036416,2013-03-01,133.591576704332,-0.11215568924826028
Алтайский край,2013,4,4.83632,28.846014911996708,2013-04-01,117.93437395876093,-0.4170405611402775
Алтайский край,2013,5,9.601381,101.9229768697785,2013-05-01,187.7337431338116,0.9421276169111052
Алтайский край,2013,6,15.523769,40.87183108508105,2013-06-01,171.64082286685624,0.6287582358224543
Алтайский край,2013,7,19.326658,94.0149259622956,2013-07-01,236.80973391715514,1.8977598205744282
Алтайский край,2013,8,18.00698,104.51224219509857,2013-08-01,239.3989992424752,1.9481792882042994
