region_std,year,spi_grow_mean,spi_grow_min
Алтайский край,2007,1.0496199219788178,-0.8381906396087315
Алтайский край,2008,0.11422515829157799,-0.4511636562620744
Алтайский край,2009,0.8828914623451306,-0.8346743297692728
Алтайский край,2010,-0.04770064629894336,-0.7921658350582291
Алтайский край,2011,-0.28620710066159805,-0.9805729485065042
Алтайский край,2012,-0.10685573147348498,-1.593694643468888
Алтайский край,2013,1.1299101141839663,-0.4170405611402775
Алтайский край,2014,0.5289657234526064,-1.0093153474995742
Алтайский край,2015,0.5917670563724903,-0.3135611972225255
Алтайский край,2016,1.1040011816684971,-0.2733305372650104
Алтайский край,2017,0.48497746883061005,-1.1874413789489282
Алтайский край,2018,0.8836775629522974,-0.2637441154578724
Алтайский край,2019,-0.03810931130759958,-1.1447470094010384
Алтайский край,2020,-0.2165787815294845,-1.309971227712086
Алтайский край,2021,-0.192821831635275,-1.0061266213338602
Алтайский край,2022,-0.3235281772934497,-1.0876323202713614
Алтайский край,2023,-1.3262168427117533,-1.7759491258884943
Амурская область,2007,0.59393437958474,-0.8997700004006229
Амурская область,2008,0.4131055170641495,-0.7940487507179258
Амурская область,2009,0.4870579173417191,-0.8844222687878783
Амурская область,2010,0.5234052916420359,-0.9221500655170656
Амурская область,2011,0.20876643111948148,-0.8971436928099467
Амурская область,2012,0.6378642457174996,-0.6866985319440566
Амурская область,2013,1.1701658159933217,-0.8427207329291343
Амурская область,2014,0.2607444249238279,-1.0616450538840276
Амурская область,2015,0.16355598455221942,-0.6426292135901285
Амурская область,2016,1.0296849162700694,-0.5766288597795266
Амурская область,2017,0.5245047451551339,-0.7879630680514736
Амурская область,2018,0.32302434277004904,-0.9408046123268629
Амурская область,2019,0.6685930115432678,-0.8820980793573561
Амурская область,2020,0.6010346599184231,-0.8413038253421612
Амурская область,2021,1.2743062257983573,-0.5595194171389718
Амурская область,2022,0.6301317315219469,-0.809998352429556
Амурская область,2023,-0.3557790740666957,-0.9830087739691656
Архангельская область,2007,0.6175543308449774,-1.036229092276739
Архангельская область,2008,0.23618241431882836,-0.9338748713660122
Архангельская область,2009,0.12215862007391742,-1.2113753971330985
Архангельская область,2010,-0.024445783134821653,-1.22376610134662
Архангельская область,2011,-0.5953686125881191,-1.1457975879183673
Архангельская область,2012,0.3502081421804253,-1.025174249382428
Архангельская область,2013,-0.620192475275712,-1.5916721848739237
Архангельская область,2014,0.2510952633061205,-0.8618959579399731
Архангельская область,2015,0.3005086470825405,-0.814645704843848
