region_std,year,month,temp_c,prec_mm,pet_proxy,water_balance,wb_3m,spei_like_3
Алтайский край,2007,1,-8.037639,26.687158812034912,0.0,26.687158812034912,,
Алтайский край,2007,2,-9.202633,43.77629048569398,0.0,43.77629048569398,,
Алтайский край,2007,3,-7.8378863,28.840899931532995,0.0,28.840899931532995,99.30434922926187,0.829855613334305
Алтайский край,2007,4,7.8777165,23.6892420698128,39.3885825,-15.699340430187199,56.91784998703977,0.360475427376606
Алтайский край,2007,5,13.2578125,115.50693608369254,66.2890625,49.21787358369254,62.35943308503833,0.42073450354722236
Алтайский край,2007,6,16.306906,91.3805742485504,81.53453,9.846044248550399,43.36457740205574,0.21038901495738388
Алтайский край,2007,7,21.63042,79.94946182604212,108.1521,-28.20263817395788,30.861279658285056,0.07192982807059511
Алтайский край,2007,8,17.328133,50.93967809151232,86.64066500000001,-35.70098690848769,-54.05758083389517,-0.8684457925098095
Алтайский край,2007,9,13.398474,24.60763539948232,66.99237,-42.384734600517675,-106.28835968296325,-1.4468396945112758
Алтайский край,2007,10,3.6166012,46.70998918142602,18.083005999999997,28.62698318142602,-49.45873832757935,-0.8175190684491807
Алтайский край,2007,11,-5.1626787,41.096093692387534,0.0,41.096093692387534,27.33834227329588,0.0329174766274175
Алтайский край,2007,12,-10.468814,33.68009722066804,0.0,33.68009722066804,103.40317409448159,0.8752452353092292
Алтайский край,2008,1,-20.211716,16.87728838714949,0.0,16.87728838714949,91.65347930020505,0.7451313069103005
Алтайский край,2008,2,-11.845778,24.99183520670689,0.0,24.99183520670689,75.54922081452442,0.5667957524800369
Алтайский край,2008,3,-1.0987996,39.94478682966138,0.0,39.94478682966138,81.81391042351777,0.6361697566135853
Алтайский край,2008,4,4.543474,51.24537826307379,22.71737,28.52800826307379,93.46463029944206,0.7651876552291662
Алтайский край,2008,5,14.0154915,27.65668210783523,70.0774575,-42.420775392164764,26.052019700570398,0.01867298040381714
Алтайский край,2008,6,19.142529,52.79267876778009,95.712645,-42.919966232219906,-56.81273336131089,-0.8989558376605072
Алтайский край,2008,7,21.76194,59.93010570675215,108.80969999999999,-48.87959429324784,-134.22033591763253,-1.7561531889867814
Алтайский край,2008,8,17.642637,66.15757541504404,88.21318500000001,-22.055609584955974,-113.85517011042373,-1.53063314169481
Алтайский край,2008,9,9.643968,59.23238440022636,48.21984,11.01254440022636,-59.92265947797747,-0.933394579360166
Алтайский край,2008,10,4.999145,22.39797770361159,24.995725,-2.597747296388409,-13.640812481118036,-0.42087803899412096
Алтайский край,2008,11,-1.3989431,62.90454834699631,0.0,62.90454834699631,71.31934545083425,0.5199549017308186
Алтайский край,2008,12,-12.82733,34.331706172144855,0.0,34.331706172144855,94.63850722275274,0.7781869493064217
Алтайский край,2009,1,-14.434569,41.91535450597122,0.0,41.91535450597122,139.15160902511238,1.271116735325009
Алтайский край,2009,2,-17.803818,36.68925287738536,0.0,36.68925287738536,112.93631355550141,0.9808134434172687
Алтайский край,2009,3,-5.973428,20.707046095867575,0.0,20.707046095867575,99.31165347922413,0.8299364992358742
Алтайский край,2009,4,5.5438776,39.090711761999,27.719388000000002,11.371323761999001,68.76762273525192,0.49169760036917565
Алтайский край,2009,5,13.020244,61.80212964014437,65.10122,-3.299090359855626,28.779279498010936,0.04887414666579614
Алтайский край,2009,6,15.154223,74.77039336194247,75.771115,-1.0007216380575272,7.071511764085834,-0.19151362391768784
Алтайский край,2009,7,19.113495,100.24670203301892,95.567475,4.679227033018918,0.37941503510575103,-0.2656206547707248
Алтайский край,2009,8,17.362457,80.54872782979585,86.812285,-6.263557170204152,-2.585051775242775,-0.29844860724576083
Алтайский край,2009,9,11.856614,41.21959772071427,59.28307,-18.063472279285733,-19.64780241647098,-0.4873983250123012
Алтайский край,2009,10,3.7711513,58.96774847595304,18.855756500000002,40.11199197595303,15.784962526463133,-0.0950224955561398
Алтайский край,2009,11,-7.0956826,55.20181911171607,0.0,55.20181911171607,77.25033880838336,0.5856336158225732
Алтайский край,2009,12,-16.13741,43.63736935531568,0.0,43.63736935531568,138.95118044298476,1.2688972265938756
Алтайский край,2010,1,-24.301184,21.7520036727913,0.0,21.7520036727913,120.59119213982304,1.065582140941913
Алтайский край,2010,2,-21.695368,15.162677021521445,0.0,15.162677021521445,80.55205004962842,0.622196150216791
Алтайский край,2010,3,-7.3423953,57.02602366327918,0.0,57.02602366327918,93.94070435759191,0.7704596105436881
Алтайский край,2010,4,2.4284544,26.481311509230068,12.142272,14.339039509230068,86.52774019403067,0.6883698281885524
Алтайский край,2010,5,10.02672,49.53924574138662,50.133599999999994,-0.5943542586133717,70.77070891389586,0.5138794030617799
Алтайский край,2010,6,18.453838,51.81073411214705,92.26919000000001,-40.458455887852956,-26.713770637236273,-0.5656455390244988
Алтайский край,2010,7,17.563623,82.76738202175575,87.818115,-5.050732978244255,-46.1035431247106,-0.7803642626406804
Алтайский край,2010,8,18.3103,18.825208158733496,91.5515,-72.72629184126652,-118.23548070736373,-1.5791398841552988
Алтайский край,2010,9,11.743324,22.748629029067057,58.71662,-35.967990970932945,-113.74501579044373,-1.5294133133032084
Алтайский край,2010,10,4.644736,35.041993302329104,23.22368,11.818313302329102,-96.87596950987037,-1.3426086414935283
Алтайский край,2010,11,-0.80396706,87.72502398073192,0.0,87.72502398073192,63.57534631212806,0.434199299811201
Алтайский край,2010,12,-16.900463,48.81063864957826,0.0,48.81063864957826,148.35397593263926,1.3730220298769897
Алтайский край,2011,1,-22.889364,6.830158238596243,0.0,6.830158238596243,143.3658208689064,1.3177841311767238
Алтайский край,2011,2,-13.094479,21.253903094327676,0.0,21.253903094327676,76.89469998250216,0.5816953378045666
Алтайский край,2011,3,-6.883449,30.12657021573826,0.0,30.12657021573826,58.210631548662164,0.3747914492384103
Алтайский край,2011,4,7.77054,37.61399035424878,38.8527,-1.2387096457512214,50.1417636643147,0.2854383114296044
Алтайский край,2011,5,12.309033,33.7923633671246,61.545165,-27.752801632875396,1.1350589371116264,-0.2572527951554629
Алтайский край,2011,6,20.339302,55.43216361350448,101.69651,-46.264346386495525,-75.25585766512216,-1.1031915558757222
Алтайский край,2011,7,18.84378,51.36969636888089,94.21889999999999,-42.8492036311191,-116.86635165049005,-1.5639784043727147
