region,region_std,year,production,area_total,temp_annual_mean,prec_annual_sum,temp_grow_mean,prec_grow_sum,prec_winter_sum,temp_annual_lag1,prec_annual_lag1,temp_grow_lag1,prec_grow_lag1,ln_production,ln_area,temp_grow_sq,prec_grow_sq,agro_zone,spi_grow_mean,spi_grow_min
Алтайский край,Алтайский край,2007,4698310.0,3576.553,4.392201016666667,18500.6833514606,14.966577,11828.601907574022,2947.1059546500364,,,,,15.3627134275498,8.182154766395719,223.99842709692905,139915823.0878638,black_soil,1.0496199219788178,-0.8381906396087315
Алтайский край,Алтайский край,2008,3857490.0,3781.666,3.69721815,15796.192706324957,14.458339916666668,9664.18850305098,4763.213377327972,4.392201016666667,18500.6833514606,14.966577,11828.601907574022,15.165527270863532,8.237919932256702,209.04359314587668,93396539.42250274,black_soil,0.1142251582915779,-0.4511636562620744
Алтайский край,Алтайский край,2009,5627844.999999999,3803.968,2.031429525,19978.35215527601,13.675151766666668,12172.945429931406,5920.012840970173,3.69721815,15796.192706324957,14.458339916666668,9664.18850305098,15.543237155970068,8.243800011432212,187.0097758413665,148180600.44008788,black_soil,0.8828914623451306,-0.8346743297692728
Алтайский край,Алтайский край,2010,4240800.0,3393.564,1.0106348366666669,15814.163267043348,13.0877099,7716.307153091478,5875.486827387053,2.031429525,19978.35215527601,13.675151766666668,12172.945429931406,15.260262488655734,8.129635975550473,171.28815042655802,59541396.08085071,black_soil,-0.0477006462989433,-0.7921658350582291
Алтайский край,Алтайский край,2011,3919500.0,3628.322,2.6501795,12728.997058250472,14.869391333333333,7859.059346813518,5885.648386284428,1.0106348366666669,15814.163267043348,13.0877099,7716.307153091478,15.181474652610913,8.196525561431121,221.0987986238084,61764813.816736914,black_soil,-0.286207100661598,-0.9805729485065042
Алтайский край,Алтайский край,2012,2516800.0,3538.062,2.251089366666667,16402.408179205802,16.016674666666667,9121.57475567109,3254.0830123566093,2.6501795,12728.997058250472,14.869391333333333,7859.059346813518,14.73849881128615,8.171334398591059,256.5338673778418,83203126.02329612,black_soil,-0.1068557314734849,-1.593694643468888
Алтайский край,Алтайский край,2013,4926100.0,3536.192,3.745399533333333,20380.72848876852,13.038417666666666,12372.043306379412,8008.47422275733,2.251089366666667,16402.408179205802,16.016674666666667,9121.57475567109,15.410058157903178,8.17080572092595,170.00033525044543,153067455.57492766,black_soil,1.1299101141839665,-0.4170405611402775
Алтайский край,Алтайский край,2014,3294900.0,3717.01,2.587294958333333,20382.636093673653,14.078070333333336,10927.995476301174,5154.2837388838,3.745399533333333,20380.72848876852,13.038417666666666,12372.043306379412,15.007886376444546,8.220674860635306,198.19206431028016,119421085.13005891,black_soil,0.5289657234526064,-1.0093153474995742
Алтайский край,Алтайский край,2015,3940400.0,3632.101,4.082199675,20381.206736445536,14.486958,11145.53898911474,6438.484998196765,2.587294958333333,20382.636093673653,14.078070333333336,10927.995476301174,15.18679279896366,8.197566547704582,209.871952093764,124223039.35787684,black_soil,0.5917670563724903,-0.3135611972225255
Алтайский край,Алтайский край,2016,4829700.0,3646.225,3.2071203083333337,20422.267130752258,15.2618787,12007.674803408518,6015.506253085917,4.082199675,20381.206736445536,14.486958,11145.53898911474,15.390294911898495,8.201447664799153,232.92494145351364,144184254.1844118,black_soil,1.1040011816684971,-0.2733305372650104
Алтайский край,Алтайский край,2017,4975500.0,3746.324000000001,3.669727925,17791.769673929208,14.547732166666668,11469.029917806349,6388.078493330811,3.2071203083333337,20422.267130752258,15.2618787,12007.674803408518,15.420036426037353,8.228530371522202,211.6365111930681,131538647.25553706,black_soil,0.48497746883061,-1.1874413789489282
Алтайский край,Алтайский край,2018,5010700.0,3240.382,1.7332899416666667,18906.385175587595,13.514290166666669,11052.56059260898,5142.078015174613,3.669727925,17791.769673929208,14.547732166666668,11469.029917806349,15.42708618385992,8.083446503071139,182.63603870886337,122159095.65329295,black_soil,0.8836775629522974,-0.2637441154578724
Алтайский край,Алтайский край,2019,4591700.0,3169.043,3.5495784333333327,16248.727054423098,14.290176183333331,9245.171187904003,4419.877964450122,1.7332899416666667,18906.385175587595,13.514290166666669,11052.56059260898,15.339760883836922,8.061184928548059,204.2091353507072,85473190.29365031,black_soil,-0.0381093113075995,-1.1447470094010384
Алтайский край,Алтайский край,2020,3951100.0,3289.34,4.947074658333333,16588.87659460843,16.008761916666668,8858.09639635745,7280.357073726626,3.5495784333333327,16248.727054423098,14.290176183333331,9245.171187904003,15.189504579121325,8.098442215732225,256.28045810451704,78465871.76716085,black_soil,-0.2165787815294845,-1.309971227712086
Алтайский край,Алтайский край,2021,5577400.0,3234.649,3.319996516666667,16626.081614776213,14.450604033333336,7960.656599073705,6441.4881730491215,4.947074658333333,16588.87659460843,16.008761916666668,8858.09639635745,15.534233275948354,8.081675700275568,208.81995692818964,63372053.48837573,black_soil,-0.192821831635275,-1.0061266213338602
Алтайский край,Алтайский край,2022,5648400.0,3353.13131,3.4153044166666664,11596.178143929614,15.336802166666663,7498.265624289243,5419.524001789569,3.319996516666667,16626.081614776213,14.450604033333336,7960.656599073705,15.546882877177234,8.117649907643946,235.2175006994713,56223987.37239774,black_soil,-0.3235281772934497,-1.0876323202713614
Алтайский край,Алтайский край,2023,4500000.0,3352.99945,4.484610508333334,9793.50665485626,14.570623966666668,5174.556419446502,3094.189289076764,3.4153044166666664,11596.178143929614,15.336802166666663,7498.265624289243,15.319587954740548,8.117610582434004,212.3030827780011,26776034.138035007,black_soil,-1.326216842711753,-1.7759491258884943
Амурская область,Амурская область,2007,361930.0,231.975,-1.87626473625,19657.213827179927,11.751013260833334,17167.698461115848,920.8822473210548,,,,,12.79920610194374,5.446629607239243,138.08631265628085,294729870.45179945,other,0.59393437958474,-0.8997700004006229
Амурская область,Амурская область,2008,272770.0,258.398,-1.894072821666667,21144.096353917463,12.069957433333334,16770.61715322892,1561.8768783574478,-1.87626473625,19657.213827179927,11.751013260833334,17167.698461115848,12.51638422822974,5.554501031940413,145.68387244247862,281253599.70017606,other,0.4131055170641495,-0.7940487507179258
Амурская область,Амурская область,2009,337801.8,247.87,-3.60399996,21064.76835669923,10.824509863333333,17877.690579603834,2435.244515049209,-1.894072821666667,21144.096353917463,12.069957433333334,16770.61715322892,12.73021461193844,5.5129044151791256,117.1700137814006,319611820.46005565,other,0.4870579173417191,-0.8844222687878783
Амурская область,Амурская область,2010,130400.0,204.448,-3.114426908333334,19985.64613185869,11.391713666666668,16456.30378377976,1846.968070385813,-3.60399996,21064.76835669923,10.824509863333333,17877.690579603834,11.77836192847469,5.320313664419933,129.77114026332015,270809934.224044,other,0.5234052916420359,-0.9221500655170656
Амурская область,Амурская область,2011,338200.0,189.62,-1.9709774375,16740.382983200194,11.697096975,13861.97918170861,2244.097704466237,-3.114426908333334,19985.64613185869,11.391713666666668,16456.30378377976,12.731392715446615,5.245022069489813,136.82207764255418,192154466.8341229,other,0.2087664311194814,-0.8971436928099467
Амурская область,Амурская область,2012,271400.0,223.388,-3.373922316666666,23011.16867373107,11.996723183333332,19132.0541197283,1440.419410980024,-1.9709774375,16740.382983200194,11.697096975,13861.97918170861,12.511349026382906,5.408910169883519,143.92136713752743,366035494.8402125,other,0.6378642457174996,-0.6866985319440566
Амурская область,Амурская область,2013,172300.0,178.086,-3.028259841666666,26675.621330014164,11.048594983333333,23497.435758947748,1867.6865377835952,-3.373922316666666,23011.16867373107,11.996723183333332,19132.0541197283,12.05699242251602,5.18226657968202,122.07145110573848,552129487.2458763,other,1.1701658159933217,-0.8427207329291343
Амурская область,Амурская область,2014,417700.0,194.908,-2.667968783333333,17331.999500139074,12.852458433333332,14419.747511647833,1721.0554849273458,-3.028259841666666,26675.621330014164,11.048594983333333,23497.435758947748,12.942518750485268,5.272527652361733,165.1856877805611,207929118.29967383,other,0.2607444249238279,-1.0616450538840276
Амурская область,Амурская область,2015,351000.0,180.726,-1.8343081583333332,17405.479729503993,11.549267883333334,13328.104607549549,2318.385599522568,-2.667968783333333,17331.999500139074,12.852458433333332,14419.747511647833,12.768541502448002,5.19698207213983,133.38558864099485,177638372.42978352,other,0.1635559845522194,-0.6426292135901285
Амурская область,Амурская область,2016,474700.0,219.427,-3.493031311666668,23912.48717573788,10.96895871,21162.72405858095,2281.273875641314,-1.8343081583333332,17405.479729503993,11.549267883333334,13328.104607549549,13.070438304539408,5.391019603168327,120.31805518168488,447860889.5796409,other,1.0296849162700694,-0.5766288597795266
Амурская область,Амурская область,2017,395100.0,201.254,-2.051469010833333,19865.468195532525,11.808645695,17752.03380239188,1326.004106405069,-3.493031311666668,23912.48717573788,10.96895871,21162.72405858095,12.886894176399482,5.30456779187755,139.44411315004206,315134704.121264,other,0.5245047451551339,-0.7879630680514736
Амурская область,Амурская область,2018,360300.0,204.19,-2.611720766666666,18751.35902082692,11.466671316666668,15133.223053078476,1257.0357828475662,-2.051469010833333,19865.468195532525,11.808645695,17752.03380239188,12.794692296736184,5.319050932934943,131.4845510844661,229014439.97422585,other,0.323024342770049,-0.9408046123268629
Амурская область,Амурская область,2019,361900.0,232.089,-2.812130589166667,21918.33003777458,10.933760961666666,18669.994243730584,1771.5542652495517,-2.611720766666666,18751.35902082692,11.466671316666668,15133.223053078476,12.799123209551832,5.447120918792361,119.54712876686597,348568685.0609331,other,0.6685930115432678,-0.8820980793573561
Амурская область,Амурская область,2020,418300.0,220.139,-1.752591469166667,21845.24186771448,11.626758111666668,18607.074161314085,2273.69298828353,-2.812130589166667,21918.33003777458,10.933760961666666,18669.994243730584,12.943954157430287,5.394259165021105,135.18150418720666,346223208.8446423,other,0.6010346599184231,-0.8413038253421612
