region,year,subsidy_main,subsidy_secondary,subsidy_third,subsidy_col_4,subsidy_col_5,subsidy_col_6,subsidy_col_7,subsidy_col_8,subsidy_col_9,subsidy_col_10
Архангельская область,2019,33000000288.0,663.996,402610667.11565554,19686371.232873328,17718063.70781944,1972843.80056231,17717618.61842818,397.81727297000003,19686316.50013318,17718118.18107112
Архангельская область,2020,33000000336.0,1389.5097,2018521566.4007,102149843.13759442,91936109.03663796,112364662.90369442,183868674.09279543,112364527.9815984,183868678.7118466,10217114.57959767
Архангельская область,2021,11000000456.0,1469.7613000000001,1132.0862000000002,1433.44809223,2390.7085547700003,1123.29099223,1404.69439774,988.03641621,1435.2161439899999,2388.57261058
Архангельская область,2022,11000000432.0,773.5872999999999,575.3899999999999,814.13260327,1351.78291052,639.9353032700001,794.32265573,584.06200171,827.38744839,1349.76816971
Архангельская область,2023,480.0,1599.5526,0.0,1786.6030378700002,1595.44216856,191.16086931,1595.4414797700001,7.03210632,1786.60164863,1595.4414797700001
Архангельская область,2024,408.0,2375.9516,0.0,2377.72767195,2155.0571,222.67057194999998,2155.05417099,9.168521799999999,2377.72467356,2155.05417099
Астраханская область,2016,36000000493.0,849.9598000000001,497343712.4324,506554594.7387,33618240.5703,472937270.2603,12408190.16629567,497638759.53119534,481424152.3838138,37037610.46458942
Астраханская область,2017,36000000380.0,1135.4471,582569519.5689,91074518.61377797,62714614.50854113,28362885.73557796,62711464.760061696,576.4348610500001,91068049.51411195,62709882.66995781
Астраханская область,2018,36000000456.0,1440966716.0,1487322837.0,1810456512.35,2392989953.6,1109534516.35,1646352031.01,745130483.2200001,1814870541.28,2387258811.85
Астраханская область,2019,36000000456.0,1575.1971,918837568.3354683,166743321.19560906,136730484.63358632,30018660.417577863,135543743.22567216,871.7902591100002,165297354.4857688,135544885.66536382
