Model,N,Main_R2
FE,490,-3.8058530737040677
SAR-style,490,-0.9071881928386796
SDM-style,490,-1.2366471362644513
Random Forest,124,0.5281366977852986
Random Forest without lagged yield,124,-0.11879017851580631
XGBoost,124,
