region_match,year,ln_yield,temp_grow_mean,prec_grow_sum,spi_grow_mean,spei_grow_mean,ln_subsidy_main,ln_subsidy_per_area,ln_yield_lag1,temp_grow_sq,spi_sq,spei_sq,temp_x_subsidy,spi_x_subsidy,spei_x_subsidy,agro_zone
Altay,2016,7.188847247099343,15.2618787,12007.674803408518,1.1040011816684971,0.216592637288961,21.821878458614467,13.620430793815313,6.989226251259079,232.92494145351364,1.218818609125438,0.0469123705277874,333.04286204151697,24.09137960453669,4.726458205950475,black_soil
Altay,2016,7.360959633079504,7.689002846666667,18834.27072176576,0.831136947178755,0.1989574313581126,26.25269492821577,24.38351156202291,6.986025748474077,59.120764776048105,0.6907886249656205,0.039584059492618,201.85704603572265,21.81958471785244,5.223168749145961,other
Altay,2017,7.19150605451515,14.547732166666668,11469.029917806349,0.48497746883061,0.4396638468022747,21.82187838228116,13.593348010758952,7.188847247099343,211.6365111930681,0.2352031452733453,0.1933042981849741,317.4588420789996,10.58311934296812,9.594290994005132,black_soil
Altay,2017,6.992975687090845,7.847131175,17436.001814368927,0.2816640524649834,-0.5816960773725531,26.25269492735466,24.377820551416097,7.360959633079504,61.57746767765688,0.0793346384509969,0.3383703264306153,206.00834079220917,7.394440441365626,-15.27108965970053,other
Altay,2018,7.343639680788783,13.514290166666669,11052.56059260898,0.8836775629522974,2.056960153500228,21.821878429614475,13.738431926543337,7.19150605451515,182.63603870886337,0.7808860352653115,4.23108507308768,294.9071970795344,19.283504349723025,44.8867344042431,black_soil
Altay,2018,6.451913963548906,6.709333683333334,17254.08157750796,0.7768083219004005,1.5768865242249686,26.252694927934023,24.410559251380903,6.992975687090845,45.01515847431124,0.6034311689737163,2.4865711102823025,176.13809035826193,20.393311892331585,41.397520856448345,other
Altay,2019,7.278575955288864,14.290176183333331,9245.171187904003,-0.0381093113075995,0.2202774637994245,21.821878429614475,13.760693501066417,7.343639680788783,204.2091353507072,0.0014523196083395,0.0485221610579067,311.8384874104721,-0.8316167583907685,4.806868035814845,black_soil
Altay,2019,7.173509002110436,7.364423793333334,18374.57435652089,0.6018692176189743,0.4442181157612367,26.252694927934023,24.366686447802863,6.451913963548906,54.23473780781413,0.3622465551172762,0.1973297343704635,193.33597116639868,15.800688956665269,11.66192267454143,other
Altay,2020,7.0910623633890975,16.008761916666668,8858.09639635745,-0.2165787815294845,-1.984684122697597,21.821878480281125,13.7234362645489,7.278575955288864,256.28045810451704,0.0469063686087961,3.9389710668879303,349.3412571652524,-4.726155851943766,-43.30953574725032,black_soil
Altay,2020,7.276540291737382,8.080558166666668,18651.10436675811,0.6915762388182168,-0.513049721312936,26.25269492851339,24.24193380713846,7.173509002110436,65.29542028488338,0.4782776940979513,0.2632200165392813,212.13642840160747,18.15574001750337,-13.468937816787324,other
Altay,2021,7.452557575672786,14.450604033333336,7960.656599073705,-0.192821831635275,-0.1236055860807168,20.723267280945368,12.6415915806698,7.0910623633890975,208.81995692818964,0.0371802587551823,0.0152783409103575,299.4637297538739,-3.995898354579251,-2.5615115977685954,black_soil
Altay,2021,7.410432374184222,7.030874766666667,16432.56111078385,0.5598191593575023,0.8898104021844557,25.15408265230163,23.258864474705344,7.276540291737382,49.43319998455006,0.3133974911837405,0.7917625518356629,176.8552049987153,14.081737404820627,22.38236440142555,other
Altay,2022,7.429232969533287,15.336802166666663,7498.265624289243,-0.3235281772934497,-1.299283675554364,20.72326720494548,12.605617297301528,7.452557575672786,235.2175006994713,0.1046704815028218,1.6881380695620578,317.82864936922,-6.704560866381131,-26.925402783536768,black_soil
Altay,2022,7.375287388678857,7.903584233333333,14454.607921992918,0.2451590566328621,-0.7007343727480692,25.15408265143258,23.15351522965768,7.410432374184222,62.46664373339526,0.0601029630491148,0.4910286611506299,198.8074110478261,6.166751173290255,-17.6263303288047,other
Altay,2023,7.201977372306543,14.570623966666668,5174.556419446502,-1.326216842711753,-1.3985236204073184,7.326465613840322,-0.791144968593683,7.429232969533287,212.3030827780011,1.7588511138923308,1.955868316837193,106.75117546398104,-9.716482094623538,-10.246235215057691,black_soil
Altay,2023,6.995358135208954,6.2679963333333335,10915.132287979126,-0.5777606214855032,0.8675444079165843,7.286191714702382,5.442273159325985,7.375287388678857,39.28777803468012,0.3338073357393149,0.7526332997073367,45.669822951718245,-4.209674653348973,6.3210948770982,other
