quantile,variable,coef,pvalue
0.25,temp_grow_mean,0.3711791606619954,2.7181988192176626e-08
0.25,prec_grow_sum,-1.075250733606481e-05,0.07470873818608649
0.25,spi_grow_mean,-0.16051238973159343,0.055961526786476146
0.25,spei_grow_mean,0.09903946905978955,0.033176416761248245
0.25,ln_subsidy_main,0.002160787585808066,0.9747525837854992
0.25,ln_subsidy_per_area,-0.025331881595775485,0.7109565561045843
0.25,ln_yield_lag1,0.23708978679496795,1.2258908380458868e-16
0.25,temp_grow_sq,-0.009985081604099832,4.947477002649087e-09
0.25,spi_sq,-0.03315780482807895,0.061695068999727765
0.25,spei_sq,-0.02340690840355819,3.835529602466049e-09
0.25,temp_x_subsidy,0.00013184931503928965,0.702716891976432
0.25,spi_x_subsidy,0.008238908703788184,0.020719883680176267
0.25,spei_x_subsidy,0.0005228787267697044,0.7593996071102694
0.5,temp_grow_mean,0.40626648464240134,2.243367645406548e-09
0.5,prec_grow_sum,-2.2485039323782985e-05,0.0014657724303546896
0.5,spi_grow_mean,-0.22088026884011924,0.02769711352922278
0.5,spei_grow_mean,0.09236912609776482,0.0920181257522111
0.5,ln_subsidy_main,-0.05015112168621272,0.4853984505112148
0.5,ln_subsidy_per_area,0.035749266331549734,0.6198563998979854
0.5,ln_yield_lag1,0.18256401171674952,1.8494454237546945e-08
0.5,temp_grow_sq,-0.008433463342953473,1.91468108464016e-07
0.5,spi_sq,-0.038541793095646426,0.045118919891946954
0.5,spei_sq,-0.018915845605079085,9.093391373978098e-06
0.5,temp_x_subsidy,-0.00032497808302878184,0.36867564283551413
0.5,spi_x_subsidy,0.009147979362751357,0.0311986078041118
0.5,spei_x_subsidy,0.0037019923565821955,0.04775829497227556
0.75,temp_grow_mean,0.27202772136661224,6.499438801159491e-05
0.75,prec_grow_sum,-2.237452741837842e-05,0.0008332997428004439
0.75,spi_grow_mean,-0.1899864758597687,0.08239159860439677
0.75,spei_grow_mean,0.1270809032721445,0.02520256614037693
0.75,ln_subsidy_main,-0.06972524814773351,0.29125865179628063
0.75,ln_subsidy_per_area,0.04883553151739761,0.46024381555285243
0.75,ln_yield_lag1,0.15415408411354292,5.838219020045053e-07
0.75,temp_grow_sq,-0.0034308027916267747,0.018206656447476034
0.75,spi_sq,-0.002419688826194033,0.8904742651141896
0.75,spei_sq,-0.017023052147123963,1.1235123328724562e-05
0.75,temp_x_subsidy,-3.245004791097017e-05,0.927779382534687
0.75,spi_x_subsidy,0.00646748051076429,0.15884400113492764
0.75,spei_x_subsidy,0.0021569428681686986,0.2420771101730898
