Model,N,R2_within,R2_between,R2_overall
FE,490,-0.20584982865425405,-5.5236753484152565,-3.8058530737040677
SAR-style,490,0.25404672337866985,-1.7193843351248574,-0.9071881928386796
SDM-style,490,0.4809141047207621,-2.2424003082110313,-1.2366471362644513
