region_match,year,ln_yield,temp_grow_mean,prec_grow_sum,spi_grow_mean,spei_grow_mean,ln_subsidy_main,ln_subsidy_per_area,ln_yield_lag1,temp_grow_sq,spi_sq,spei_sq,temp_x_subsidy,spi_x_subsidy,spei_x_subsidy,agro_zone,W_ln_yield,W_temp_grow_mean,W_prec_grow_sum,W_spi_grow_mean,W_spei_grow_mean,W_ln_subsidy_main,W_ln_subsidy_per_area,W_ln_yield_lag1,W_temp_grow_sq,W_spi_sq,W_spei_sq,W_temp_x_subsidy,W_spi_x_subsidy,W_spei_x_subsidy
Adygey,2016,8.43792925372154,17.7603205,18767.8418931676,0.7474171198924324,0.7125480389139014,26.191325979946523,21.17099121154148,8.401844378141654,315.42898426272023,0.5586323511082987,0.5077247077600467,465.1663437238268,19.57584543009547,18.66257796356561,other,8.6409807875573,19.459292666666663,13335.720978510417,0.6633160997400667,0.6661853754654783,22.920490467615963,15.108404493719997,8.632180071038299,378.6640710869871,0.4399882481743741,0.4438029544840803,446.01653207288246,15.203530341108396,15.269295548021656
Altay,2016,7.274903440089423,11.475440773333334,15420.972762587138,0.9675690644236261,0.2077750343235368,24.03728669341512,19.00197117791911,6.987625999866578,146.02285311478087,0.9548036170455293,0.0432482150102027,267.4499540386198,22.955482161194567,4.974813477548218,black_soil,7.316171643066109,14.7604634,9103.964197853236,0.4829363038541179,-0.9191122221683145,25.733901138136,18.383941318853697,7.27724127730104,217.8712797827396,0.2332274735802769,0.8447672769391769,379.8443058886748,12.427835099398678,-23.65234306013189
Amur,2016,7.679418701371082,10.96895871,21162.72405858095,1.0296849162700694,2.2635571241211334,24.124463257541898,18.73344365437357,7.571559430308172,120.31805518168488,1.0602510267941,5.123690854159536,264.6202413728892,24.840595929402397,54.60710067220749,other,6.8581568326194935,7.779305947555555,13863.424191713213,0.7192006437895686,1.5896500766217425,25.48692559795099,22.319653915990184,6.7292732745615,65.52237307838934,0.5373249456991128,2.715408088413237,197.39339497463192,18.21665793723254,40.51350120076127
Arkhangel'sk,2016,7.280079994587997,7.761104483333334,12091.440477421304,0.2526963876424664,-1.455226583342158,24.21977340786744,23.06604181997825,7.507733608179101,60.234742801216775,0.0638554643275516,2.1176844088656908,187.97219198111745,6.120249249687169,-35.245258105652184,risky_farming,7.37064448277914,12.902076238888888,12618.994603404051,-0.030015273049820067,-1.4734097779719049,25.45749635026748,23.565049471667074,7.313499341923506,167.9978984726095,0.018738181054778563,2.235722716903899,327.80100074733946,-0.8169274119054477,-37.64700815675762
Astrakhan',2016,7.97335682358478,21.682829166666664,4799.192817434439,0.901675135247116,0.7502121626638814,24.30678478909697,21.99821762442537,7.870480996092766,470.1450806708506,0.8130180495229048,0.562818289008818,527.0398621729213,21.916823462131543,18.23524558403397,volga_dry,7.776781084551548,20.291491999999998,7771.059830867191,1.1602405806534053,1.2117971531090204,25.4883896383851,19.041391279413475,7.348101441456365,412.9538520502001,1.3704826312233003,1.4994620629342381,518.050927456354,29.451614988316866,30.75008306964098
Bashkortostan,2016,7.51521009285843,15.487810333333334,7759.528948170355,-0.5827980047483233,-1.723448364244207,26.20390476304257,18.702435420943523,7.444510332764528,239.8722689213068,0.3396535143386267,2.9702742642160334,405.8411069627333,-15.271583412516296,-45.1610768006767,black_soil,7.311115072788595,15.233898208333336,9099.664186744696,-0.09090151362090702,-1.3546636357061195,26.083595116775644,19.463531310938144,7.234656170625477,233.6048262844167,0.05895095779401976,2.2017784744772415,397.35933373915384,-2.3865595196664415,-35.36339129956512
Belgorod,2016,8.463659995341935,17.057882,12028.707120667928,1.3385208424514623,1.6173083751706492,24.46093545615835,17.854723203676947,8.283407678162659,290.971338325924,1.7916380456769725,2.615686380397125,417.2517506207653,32.74147193392792,39.56087577775358,black_soil,8.223509183644136,16.847188833333334,13107.020356227167,1.7065151857263139,1.867160581747895,25.138537343474884,18.021927635964154,8.05318029470068,284.2501769079628,2.9821633324251433,3.6194475369035075,423.3051064805479,42.98418636185053,47.05479528135372
Bryansk,2016,8.226796961139307,15.902950666666667,11835.789103121984,0.6614867574659965,0.3000730296287744,24.529928327872287,18.57719681285333,7.969296227391893,252.9038399064338,0.437564730302878,0.0900438231105913,390.0982400550222,16.226222750477532,7.360769909921335,other,7.822695651761502,15.302584944444444,14308.395627199512,1.275238903331078,1.1102919633158974,25.553390370656366,20.173899624643806,7.879990267629126,234.5773070254398,1.8686913281772328,1.8669351254489515,390.9609233696908,32.54734619635326,28.295316938772718
Buryat,2016,6.086785537781555,8.73061075,12345.871948905264,0.3030359144413654,-0.2058557222334653,26.216327284237572,21.8898001460506,5.520316712901397,76.22356406801556,0.0918307654413145,0.0423765783762616,228.8845488132829,7.944488711873052,-5.396780987405629,other,6.95380861779447,9.613073566666666,12744.198754799145,0.5627644125692848,0.40230212903929996,25.84928101897685,21.504602015947054,6.495654908297856,92.6824402305043,0.3745180284482813,0.35978418513156935,248.31708862210235,14.670765911877982,10.503447761255265
Chechnya,2016,7.638372275741588,17.566128000000003,22966.368110643063,1.3713913990207072,1.61130894432395,26.38622631924208,21.391625560625265,7.53643281129961,308.5688529123841,1.8807143693079724,2.596316514058362,463.5038289607753,36.1858438268224,42.51636247515078,other,8.015537955016683,17.594859888888887,17282.38896879713,1.3830215124251675,1.5456638924542547,25.02545345033154,19.509512720130708,7.793089521130034,312.68238023518586,1.9203080192587696,2.424674842679611,438.84771947313305,34.618329970124165,38.63165194191154
Chelyabinsk,2016,7.27181555685544,15.23578605,8103.433254969725,0.1432376783536005,-0.8735580748681917,26.139366243244165,18.929022052881614,7.191966146456508,232.1291765613746,0.0205170325001295,0.7631037101674212,398.25379156466033,3.74414213431677,-22.83425445372297,other,7.361469154431909,15.547712454166668,8867.579904356913,0.1554202108088656,-0.8913788681626271,25.856284063259828,18.796567113025382,7.237915599482017,243.08256582315403,0.33977875653856265,1.3975333646297476,401.9464433844769,3.8660017759922014,-23.25784424477307
Dagestan,2016,7.890882105993355,16.5816805,15905.598527926028,1.4573261337978431,1.624286526370364,26.228597375143,21.28240105158409,7.84055991703159,274.9521282040803,2.123799460250169,2.638306719748304,434.9142216377599,38.22362040765741,42.602757322037874,other,7.925501381844075,19.676585222222222,13585.405439471877,1.2687938702749562,1.4580604747682724,25.47284800267972,19.43224441813415,7.714647162710135,389.68481968223716,1.6454087920334568,2.2173712921599336,500.8035558415688,32.18919901502741,36.92320295475532
Ingush,2016,7.809117349502928,16.130401833333334,24281.31189552734,1.261025872160393,1.2855340471947252,25.07997467094369,21.27451290174989,7.301225108421858,260.1898633048034,1.59018625025788,1.65259778649685,404.5500694121438,31.62649693318734,32.24116134227945,other,7.638372275741588,17.566128000000003,22966.368110643063,1.3713913990207072,1.61130894432395,26.38622631924208,21.391625560625265,7.53643281129961,308.5688529123841,1.8807143693079724,2.596316514058362,463.5038289607753,36.1858438268224,42.51636247515078
Irkutsk,2016,7.551311870574468,9.9488686,9976.408582243002,0.2850312031549697,0.0676773890878774,25.04075396432272,19.035455547959245,7.20616717760427,98.97998642006594,0.0812427867719696,0.0045802289937519,249.12717083597587,7.137396230358483,1.6946928490972777,risky_farming,6.820388387076682,7.501933685200001,11735.08153903441,0.4649701870509374,0.4547570275376511,25.667686911415498,21.523167273909873,6.42049246554554,60.85659976201253,0.34338155291972405,1.2087687093106367,193.86233429613128,12.315857900731226,12.442150755536863
Ivanovo,2016,7.555655116940461,14.767805583333333,12788.89566265395,0.4913283497160175,-0.20371974829886,24.999931957226355,20.80917176582824,7.704030744306486,218.0880817471312,0.2414035472346652,0.0415017358469508,369.1941347408808,12.283175311556754,-5.092979845814781,other,7.459408911517274,14.531841099999998,13006.254729158105,0.3594338498119849,-0.40648260591682434,25.393972358579404,21.361059947452368,7.5840043797522165,211.40449610519002,0.15133857824898264,0.26236145803285144,368.82218286045963,9.062017702351191,-10.471400124119485
Kabardin-Balkar,2016,8.619568608637504,13.054543166666669,27084.102446670782,1.3261321307634908,1.4581589512941766,26.240718735752484,20.904754008505886,8.424924331187654,170.42109729036338,1.7586264282433162,2.1262275272393327,342.5605954602396,34.7986602498089,38.263138912930295,other,8.39294424360704,15.538077041666664,19638.103792386635,1.2288496346149922,1.4828467980385889,25.050262969611225,18.84008682477441,8.286209589351776,261.9928055342472,1.5508200535584327,2.258528992837955,383.4176367926498,30.524122446451937,36.83236250240539
