model,variable,coefficient,std_error,pvalue,significance
SAR_style,const,4.252571216350196,1.4093695968531423,0.0027108558227553203,***
SAR_style,W_ln_yield,0.6383815233766311,0.08311617217875447,1.2012613126444194e-13,***
SAR_style,temp_grow_mean,-0.01719480037918432,0.053532840816779746,0.7482237870886437,
SAR_style,prec_grow_sum,-0.0003403156031495242,0.00025137954875476226,0.17655775299416665,
SAR_style,spi_grow_mean,0.015099872573423078,0.09301327093958849,0.8711182497327328,
SAR_style,spei_grow_mean,-0.04721527297759061,0.06368339356752628,0.45887677404145033,
SAR_style,ln_subsidy_main,-0.21925485011944545,0.14477799598869903,0.1306990826010277,
SAR_style,ln_subsidy_per_area,0.19583051929985412,0.14551577767093005,0.17913013045799953,
SAR_style,ln_yield_lag1,0.14636048189805245,0.08127179644198258,0.07246611646229151,*
SAR_style,temp_grow_sq,-0.0029045802396617947,0.0013645963369518452,0.03389644492183974,**
SAR_style,spi_sq,-0.029803237038462868,0.018827256441556757,0.11420576543118544,
SAR_style,spei_sq,-0.007538568044624064,0.006307562569549965,0.23272256300897665,
SAR_style,temp_x_subsidy,0.00011346614760098458,0.00038843296009312346,0.7703501382128732,
SAR_style,spi_x_subsidy,0.005702592241665338,0.00447035359448792,0.20281157278722128,
SAR_style,spei_x_subsidy,-0.0006354387564407898,0.0021992587795482475,0.7727803722282363,
