model,variable,coefficient,std_error,pvalue,significance
FE_nonlinear,const,11.816575584037075,1.5214622319346083,5.88418203051333e-14,***
FE_nonlinear,temp_grow_mean,-0.0791692847618474,0.0856764761884737,0.3559753195438278,
FE_nonlinear,prec_grow_sum,-0.0005051529162363522,0.00028936935572254207,0.08157186446475517,*
FE_nonlinear,spi_grow_mean,-0.049879113386397604,0.1149706945284775,0.6646192706623251,
FE_nonlinear,spei_grow_mean,-0.10899060996471749,0.07753575104087022,0.16053569552038538,
FE_nonlinear,ln_subsidy_main,-0.3563004981650802,0.08390719287037803,2.66081374840077e-05,***
FE_nonlinear,ln_subsidy_per_area,0.32051034096355924,0.08093691112342602,8.760723125278425e-05,***
FE_nonlinear,ln_yield_lag1,0.1111064647354064,0.0843813880257007,0.1886297499825491,
FE_nonlinear,temp_grow_sq,-0.0053876155393399764,0.002078118512254059,0.009849201023027776,***
FE_nonlinear,spi_sq,-0.05074223579576593,0.01830407568759411,0.005808362819363255,***
FE_nonlinear,spei_sq,-0.010024502521400329,0.00582739428769991,0.08610374573917023,*
FE_nonlinear,temp_x_subsidy,0.0002879930568495113,0.0005398532855926024,0.5939851643777185,
FE_nonlinear,spi_x_subsidy,0.013528632385748706,0.00505438173716239,0.007719352438588567,***
FE_nonlinear,spei_x_subsidy,-0.0013036782243436406,0.002716979807016595,0.6315932271330631,
