model,variable,coefficient,std_error,pvalue,significance
Panel_ARDL_style,const,10.180039235079331,2.789951675461805,0.00031495206289577915,***
Panel_ARDL_style,temp_grow_mean,-0.2280590223996198,0.11249441101640167,0.04359347394220214,**
Panel_ARDL_style,prec_grow_sum,-0.0007792664589828164,0.0004202586602945393,0.06476941933966174,*
Panel_ARDL_style,spi_grow_mean,0.19334146352877726,0.1273477216062405,0.13010433105444763,
Panel_ARDL_style,spei_grow_mean,-0.15411723033405622,0.08016304761651151,0.055566038748107394,*
Panel_ARDL_style,ln_subsidy_main,-0.2431012428616136,0.273469803517436,0.3748035451584282,
Panel_ARDL_style,ln_subsidy_per_area,0.23039747891404933,0.2758673442525172,0.4043416080979463,
Panel_ARDL_style,ln_yield_lag1,0.04931243909463282,0.06074404983096187,0.417602016845402,
Panel_ARDL_style,temp_grow_sq,0.00039500381090177525,0.0031547626963198856,0.9004494611796345,
Panel_ARDL_style,spi_sq,-0.030311520983099645,0.02981821679363607,0.3102608103645541,
Panel_ARDL_style,spei_sq,-0.009711633926733482,0.008403919675937666,0.24884107942950462,
Panel_ARDL_style,temp_x_subsidy,-0.0012085828319304854,0.0005748951546449135,0.03643586260959952,**
Panel_ARDL_style,spi_x_subsidy,0.007116609083855423,0.005457102722844817,0.19328593642623604,
Panel_ARDL_style,spei_x_subsidy,-0.0011211150581207554,0.0028658363088307614,0.6959512624796158,
Panel_ARDL_style,temp_grow_mean_lag1,0.013655612921482768,0.0514370652632551,0.7908363904661626,
Panel_ARDL_style,temp_grow_mean_lag2,0.15910565680349834,0.07424625337241904,0.032991940985395596,**
Panel_ARDL_style,prec_grow_sum_lag1,-0.0001448454041156032,0.000637783687519455,0.8205083463743901,
Panel_ARDL_style,prec_grow_sum_lag2,0.0006174307657606407,0.00036893135468476617,0.09534894203036459,*
Panel_ARDL_style,spi_grow_mean_lag1,-0.012962313426335711,0.06357786556085698,0.8385968059469779,
Panel_ARDL_style,spi_grow_mean_lag2,-0.25133609418922237,0.0648521643638569,0.00013299237447128576,***
Panel_ARDL_style,spei_grow_mean_lag1,-0.010224545157536997,0.04342321381986928,0.8140242775237732,
Panel_ARDL_style,spei_grow_mean_lag2,0.14536705394003283,0.05596228009525981,0.009891831895930236,***
