model,variable,coefficient,std_error,pvalue,significance
SDM_style,const,4.434579504422496,1.5541125134870075,0.004554122644937486,***
SDM_style,W_ln_yield,0.6746063840786998,0.0917914107892502,1.1688428003253648e-12,***
SDM_style,temp_grow_mean,-0.011601980596373346,0.08271228443546917,0.8885193950034398,
SDM_style,prec_grow_sum,-0.0003698662098832044,0.0003441581920155585,0.283170892811865,
SDM_style,spi_grow_mean,0.1803054046603843,0.15258098781520346,0.23803995583629556,
SDM_style,spei_grow_mean,-0.08982605190074908,0.10930663729032108,0.41170142618670647,
SDM_style,ln_subsidy_main,-0.24513994634989159,0.1502862597855465,0.1036610597122396,
SDM_style,ln_subsidy_per_area,0.21364857905054208,0.14656747559494057,0.14572921833592467,
SDM_style,ln_yield_lag1,0.17393584387711644,0.11284141716249207,0.12402180580879185,
SDM_style,temp_grow_sq,-0.002276938736402171,0.00270084852774682,0.39971698847679127,
SDM_style,spi_sq,-0.018086660111747265,0.022407428745220784,0.4200565899314288,
SDM_style,spei_sq,-0.016466243256541464,0.008191499888065449,0.04509861666544146,**
SDM_style,temp_x_subsidy,0.0006986101383569997,0.0006976918081691189,0.3172916332592828,
SDM_style,spi_x_subsidy,-0.001393199746434169,0.006649149174625972,0.8341429543340337,
SDM_style,spei_x_subsidy,0.0023849347668303596,0.004215748505337639,0.5719075629378882,
SDM_style,W_temp_grow_mean,-0.05657802277368872,0.12996809494310588,0.6635680135515662,
SDM_style,W_prec_grow_sum,0.00020696741770612968,0.0005638068733184425,0.7137505629915606,
SDM_style,W_spi_grow_mean,-0.21253928625014568,0.2572745430249128,0.40923932903544813,
SDM_style,W_spei_grow_mean,0.03708435043368297,0.14452701208253652,0.7976290294874233,
SDM_style,W_ln_subsidy_main,0.034357445388724504,0.03881709686470875,0.3766392781839065,
SDM_style,W_ln_subsidy_per_area,-0.013091021786840221,0.035865928225629444,0.7153091225813375,
SDM_style,W_ln_yield_lag1,-0.05849417224332843,0.15602039091569858,0.7079274487882139,
SDM_style,W_temp_grow_sq,9.562052726048561e-05,0.003910154991384024,0.9805025930969298,
SDM_style,W_spi_sq,-0.00746687422340305,0.03381702309213249,0.8253613828378548,
SDM_style,W_spei_sq,0.013059312083189284,0.010163967461634215,0.1995986331782369,
SDM_style,W_temp_x_subsidy,-0.000581407161226581,0.0009492521279379809,0.5405689338041224,
SDM_style,W_spi_x_subsidy,0.008734499130314119,0.009812018379182597,0.3739132323670038,
SDM_style,W_spei_x_subsidy,-0.0038976695820031938,0.005470964357373673,0.476623444562005,
