region,region_std,year,production,area_total,temp_annual_mean,prec_annual_sum,temp_grow_mean,prec_grow_sum,prec_winter_sum,temp_annual_lag1,prec_annual_lag1,temp_grow_lag1,prec_grow_lag1,ln_production,ln_area,temp_grow_sq,prec_grow_sq,agro_zone,production_used,area_used,yield_kg_ha,yield_t_ha,ln_yield,spi_grow_mean,spi_grow_min,temp_grow_z,spei_grow_mean,subsidy_main,subsidy_secondary,subsidy_third,subsidy_col_4,subsidy_col_5,subsidy_col_6,subsidy_col_7,subsidy_col_8,subsidy_col_9,subsidy_col_10,ln_subsidy_main,subsidy_per_area,ln_subsidy_per_area,ln_yield_lag1,spi_sq,spei_sq,temp_x_subsidy,spi_x_subsidy,spei_x_subsidy,post2014,post2014_x_temp_grow_mean,post2014_x_spi_grow_mean,post2014_x_spei_grow_mean,region_match
Ставропольский край,Ставропольский край,2019,8400200.0,2523.699,12.421851051666666,410.4788732126005,20.40695883333333,240.6686050249531,205.2831693648047,12.408913433333334,499.7558679555205,21.2051405,181.8539559226629,15.94376607305391,7.833480961399088,416.4439688253614,57921.377444656886,volga_dry,8400200.0,2523.699,3328.526896432578,3.3285268964325776,8.110285111654822,-0.2158148902254041,-0.5846501755864809,0.1488055179533964,-0.3646204081788006,21000000588.0,6867.8447,4362700230.238681,239264038.0576848,224910945.2675497,14362670.68078794,224906598.99785224,4433.24452273,239264201.12806347,224912513.87219915,23.767788302669835,8321119.352188989,15.934307341270744,8.193394801102205,0.0465760668430032,0.1329480420604751,485.02827745196487,-5.129442623441334,-8.666220672426798,1,20.40695883333333,-0.2158148902254041,-0.3646204081788006,Stavropol'
Ставропольский край,Ставропольский край,2020,5762700.0,2321.027,12.857523011666666,382.1067653900503,20.732787,192.072286134114,135.76539519987512,12.421851051666666,410.4788732126005,20.40695883333333,240.6686050249531,15.566916672843114,7.749765039123622,429.84845678736895,36891.76310078496,volga_dry,5762700.0,2321.027,2482.82333639376,2.48282333639376,7.817151633719492,-0.6435646431785187,-1.7449943069666565,0.5825761679939738,-1.2261408111724923,21000000686.0,7907.443499999999,9304384499.5998,758527354.2395276,713023043.2140332,804039515.8469276,1425204186.6859033,803164482.0461742,1424381875.3837686,45469627.5539214,23.7677883073365,9047719.257897474,16.01802326821288,8.110285111654822,0.414175449949494,1.5034212888227378,492.77249243709815,-15.296108201153585,-29.142655234933656,1,20.732787,-0.6435646431785187,-1.2261408111724923,Stavropol'
Ставропольский край,Ставропольский край,2021,9240700.0,2486.179,11.896258529166667,640.9479032430613,20.4950535,384.2094975708553,232.2512483853195,12.857523011666666,382.1067653900503,20.732787,192.072286134114,16.039128198324164,7.81850227269657,420.0472179678623,147616.93802364907,volga_dry,9240700.0,2486.179,3716.828112537352,3.716828112537352,8.220625925627594,1.3642454496976024,0.817157107739047,0.2660847612307321,1.0981606884668702,7000000931.0,9089.4127,5235.8143,9102.39288685,14237.0913023,5682.56138688,8973.39720367,5195.3723544,9137.63738003,13505.03872001,22.669176119001715,2815565.947182403,14.850673846305146,7.817151633719492,1.8611656470206133,1.2059568976940302,464.60597735986255,30.92632036874165,24.894398053819657,1,20.4950535,1.3642454496976024,1.0981606884668702,Stavropol'
Ставропольский край,Ставропольский край,2022,9319400.0,2423.24016,12.314929508333334,379.4866124188002,20.60299875,229.9067794685386,163.75942200904726,11.896258529166667,640.9479032430613,20.4950535,384.2094975708553,16.04760880690704,7.792860832702139,424.4835574925016,52857.12724559524,volga_dry,9319400.0,2423.24016,3845.842502048992,3.845842502048992,8.2547479742049,-0.3001377066519322,-0.8933712245643938,0.4097908187527484,-0.7099285254046805,7000000882.0,8925.4969,5258.723100000001,8717.60532438,13071.06067268,5148.62449241,8457.882048950001,8490.595059930001,11735.79020405,13071.05866607,22.669176112001715,2888694.6484082704,14.876315279299575,8.220625925627594,0.0900826429542813,0.5039985111832641,467.0530070991012,-6.80387452994496,-16.093494769332388,1,20.60299875,-0.3001377066519322,-0.7099285254046805,Stavropol'
Ставропольский край,Ставропольский край,2023,9137800.0,2434.59034,12.725341364666669,285.6986016308188,20.361938166666665,131.73290819516035,89.47778157709901,12.314929508333334,379.4866124188002,20.60299875,229.9067794685386,16.027930214238566,7.797533783170039,414.6085259031566,17353.559101554543,volga_dry,9137800.0,2434.59034,3753.3213904068966,3.7533213904068967,8.230396431068527,-1.2653426958361191,-2.054095168122438,0.0888701107568786,-1.3542128065929977,980.0,13613.2093,0.0,14351.52850358,13512.56661,838.9618935800002,13512.56058097,6377.5376562400015,14351.52230365,13512.56058097,6.887552571664617,0.4025317869288842,-0.909981211505422,8.2547479742049,1.6010921379058176,1.833892325540484,140.24391958390092,-8.715114338743103,-9.32721189863076,1,20.361938166666665,-1.2653426958361191,-1.3542128065929977,Stavropol'
Тамбовская область,Тамбовская область,2007,1584520.0,860.551,7.322684308333333,585.9344061699153,16.540441416666667,300.9700122281513,136.76376928960667,,,,,14.275792080311774,6.757572881762842,273.586202258182,90582.94826061354,black_soil,1584520.0,860.551,1841.2854089995828,1.841285408999583,7.518219198548931,-0.2436842921327601,-0.8392853540636285,0.1429246870120878,-0.3866089791448479,,,,,,,,,,,,,,,0.0593820342322443,0.1494665027554214,,,,0,0.0,-0.0,-0.0,Tambov
Тамбовская область,Тамбовская область,2008,2869660.0,943.852,7.496318216666666,600.3229930477833,15.709113,343.6362637913478,257.9108515692392,7.322684308333333,585.9344061699153,16.540441416666667,300.9700122281513,14.869704113819092,6.849969374193268,246.77623124676904,118085.88179247678,black_soil,2869660.0,943.852,3040.3707360899803,3.0403707360899803,8.019734739625823,0.6848383378782673,-0.2082571643771379,-0.8891898008001607,1.574028138678428,,,,,,,,,,,,,,7.518219198548931,0.4690035490278678,2.477564581351477,,,,0,0.0,0.0,0.0,Tambov
Тамбовская область,Тамбовская область,2009,2632647.7,965.69,6.746107458333333,499.12125802225125,15.698424416666668,244.8141281088017,199.4718050446584,7.496318216666666,600.3229930477833,15.709113,343.6362637913478,14.783500627779135,6.872842871736488,246.44052916579616,59933.957321672766,black_soil,2632647.7,965.69,2726.1830401060383,2.7261830401060383,7.910657756042649,-0.3379343711241691,-1.024877799276401,-0.902459937477016,0.564525566352847,,,,,,,,,,,,,,8.019734739625823,0.1141996391870876,0.3186891150660026,,,,0,0.0,-0.0,0.0,Tambov
Тамбовская область,Тамбовская область,2010,925600.0,817.8380000000001,7.321502241666667,526.2364037789223,18.89485045,177.15907147933137,207.0233160411968,6.746107458333333,499.12125802225125,15.698424416666668,244.8141281088017,13.738197454861604,6.706664272979663,357.0153735278652,31385.33660741884,black_soil,925600.0,817.8380000000001,1131.7644814743262,1.1317644814743262,7.031533181881941,-1.3316799096208358,-1.715057558073659,3.06598087614476,-4.397660785765595,,,,,,,,,,,,,,7.910657756042649,1.7733713816877574,19.33942038666047,,,,0,0.0,-0.0,-0.0,Tambov
Тамбовская область,Тамбовская область,2011,1919800.0,878.1519999999999,5.88303075,637.2461973923009,16.184998083333333,337.6079566973012,280.15289830870745,7.321502241666667,526.2364037789223,18.89485045,177.15907147933137,14.467731571911573,6.777819699380382,261.9541629575037,113979.13242532678,black_soil,1919800.0,878.1519999999999,2186.18189106214,2.18618189106214,7.689911872531192,0.0467812644584684,-1.1620895762581154,-0.2983668730678428,0.3451481375263112,,,,,,,,,,,,,,7.031533181881941,0.0021884867043331,0.1191272368378814,,,,0,0.0,0.0,0.0,Tambov
